eval loss: 2.5939 | dt:  2067.46ms
epoch: 1/4 | step:    62/6435 | loss: 2.4261 | lr: 9.6373e-05 | dt:  214.61ms
epoch: 1/4 | step:    63/6435 | loss: 2.1112 | lr: 9.7927e-05 | dt:  187.08ms
epoch: 1/4 | step:    64/6435 | loss: 2.1830 | lr: 9.9482e-05 | dt:  234.83ms
epoch: 1/4 | step:    65/6435 | loss: 2.3161 | lr: 1.0104e-04 | dt:  288.45ms
epoch: 1/4 | step:    66/6435 | loss: 2.3170 | lr: 1.0259e-04 | dt:  298.26ms
epoch: 1/4 | step:    67/6435 | loss: 2.2476 | lr: 1.0415e-04 | dt:  282.12ms
epoch: 1/4 | step:    68/6435 | loss: 2.0240 | lr: 1.0570e-04 | dt:  217.01ms
epoch: 1/4 | step:    69/6435 | loss: 2.3978 | lr: 1.0725e-04 | dt:  223.78ms
epoch: 1/4 | step:    70/6435 | loss: 2.0689 | lr: 1.0881e-04 | dt:  355.42ms
epoch: 1/4 | step:    71/6435 | loss: 2.1933 | lr: 1.1036e-04 | dt:  224.16ms
epoch: 1/4 | step:    72/6435 | loss: 2.2945 | lr: 1.1192e-04 | dt:  273.56ms
epoch: 1/4 | step:    73/6435 | loss: 2.1827 | lr: 1.1347e-04 | dt:  230.64ms
epoch: 1/4 | step:    74/6435 | loss: 2.4973 | lr: 1.1503e-04 | dt:  226.49ms
epoch: 1/4 | step:    75/6435 | loss: 2.3170 | lr: 1.1658e-04 | dt:  205.96ms
epoch: 1/4 | step:    76/6435 | loss: 2.2948 | lr: 1.1813e-04 | dt:  261.32ms
epoch: 1/4 | step:    77/6435 | loss: 2.4285 | lr: 1.1969e-04 | dt:  225.39ms
epoch: 1/4 | step:    78/6435 | loss: 2.2754 | lr: 1.2124e-04 | dt:  354.01ms
epoch: 1/4 | step:    79/6435 | loss: 2.2607 | lr: 1.2280e-04 | dt:  250.71ms
epoch: 1/4 | step:    80/6435 | loss: 2.2730 | lr: 1.2435e-04 | dt:  212.35ms
epoch: 1/4 | step:    81/6435 | loss: 2.4999 | lr: 1.2591e-04 | dt:  279.77ms
epoch: 1/4 | step:    82/6435 | loss: 2.3280 | lr: 1.2746e-04 | dt:  245.65ms
epoch: 1/4 | step:    83/6435 | loss: 2.2751 | lr: 1.2902e-04 | dt:  274.98ms
epoch: 1/4 | step:    84/6435 | loss: 2.2317 | lr: 1.3057e-04 | dt:  201.70ms
epoch: 1/4 | step:    85/6435 | loss: 2.3460 | lr: 1.3212e-04 | dt:  178.86ms
epoch: 1/4 | step:    86/6435 | loss: 2.3767 | lr: 1.3368e-04 | dt:  268.27ms
epoch: 1/4 | step:    87/6435 | loss: 2.2704 | lr: 1.3523e-04 | dt:  211.27ms
epoch: 1/4 | step:    88/6435 | loss: 2.3814 | lr: 1.3679e-04 | dt:  232.48ms
epoch: 1/4 | step:    89/6435 | loss: 2.2301 | lr: 1.3834e-04 | dt:  253.03ms
epoch: 1/4 | step:    90/6435 | loss: 2.3291 | lr: 1.3990e-04 | dt:  280.91ms
epoch: 1/4 | step:    91/6435 | loss: 2.4123 | lr: 1.4145e-04 | dt:  244.68ms
epoch: 1/4 | step:    92/6435 | loss: 2.4983 | lr: 1.4301e-04 | dt:  229.82ms
epoch: 1/4 | step:    93/6435 | loss: 2.1494 | lr: 1.4456e-04 | dt:  272.05ms
epoch: 1/4 | step:    94/6435 | loss: 2.1935 | lr: 1.4611e-04 | dt:  231.91ms
epoch: 1/4 | step:    95/6435 | loss: 2.2897 | lr: 1.4767e-04 | dt:  233.49ms
epoch: 1/4 | step:    96/6435 | loss: 2.2996 | lr: 1.4922e-04 | dt:  204.36ms
epoch: 1/4 | step:    97/6435 | loss: 2.1260 | lr: 1.5078e-04 | dt:  351.44ms
epoch: 1/4 | step:    98/6435 | loss: 2.4200 | lr: 1.5233e-04 | dt:  327.15ms
epoch: 1/4 | step:    99/6435 | loss: 2.1644 | lr: 1.5389e-04 | dt:  267.52ms
epoch: 1/4 | step:   100/6435 | loss: 2.3845 | lr: 1.5544e-04 | dt:  276.21ms
eval loss: 2.2066 | dt:  1787.35ms
epoch: 1/4 | step:   101/6435 | loss: 2.1235 | lr: 1.5699e-04 | dt:  206.93ms
epoch: 1/4 | step:   102/6435 | loss: 2.2647 | lr: 1.5855e-04 | dt:  220.75ms
epoch: 1/4 | step:   103/6435 | loss: 2.2660 | lr: 1.6010e-04 | dt:  204.74ms
epoch: 1/4 | step:   104/6435 | loss: 2.2121 | lr: 1.6166e-04 | dt:  237.56ms
